filename,true_min,true_max,frac_le_4096,frac_le_2048,frac_le_1500,frac_le_1024,frac_le_1000,frac_ge_1000,frac_ge_1500,frac_ge_2000,frac_ge_3000,pct_1_all,pct_5_all,pct_50_all,pct_95_all,pct_99_all,pct_1_body,pct_5_body,pct_50_body,pct_95_body,pct_99_body
1.2.840.113619.2.278.3.717616.260.1578649386.487_1.2.840.113619.2.278.3.717616.260.1578649386.755.11_standardized.nii.gz,-4048.0,1952.8800048828125,0.0,0.217534,0.718383,0.821139,0.833844,4e-06,1e-06,0.0,0.0,-4048.0,-4048.0,-1993.5,-934.0,-608.0,-997.5,-988.5,-950.1,-558.6,-141.1
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649416.936.3_standardized.nii.gz,-4048.0,2047.0,0.0,0.217673,0.657252,0.777773,0.863428,1.7e-05,1.2e-05,6e-06,0.0,-4048.0,-4048.0,-1956.6,-967.5,-745.4,-999.5,-997.5,-974.9,-660.4,-286.3
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649417.37.4198401_standardized.nii.gz,-4048.0,2047.0,0.0,0.217652,0.6514,0.765361,0.844798,1.8e-05,1.2e-05,6e-06,0.0,-4048.0,-4048.0,-1956.8,-944.8,-713.4,-999.3,-996.4,-963.5,-678.3,-309.8
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649417.37.4202498_standardized.nii.gz,-4048.0,2047.0,0.0,0.217731,0.661858,0.771515,0.843107,2.6e-05,1.9e-05,1e-05,0.0,-4048.0,-4048.0,-1961.0,-933.7,-732.9,-999.3,-996.1,-959.3,-678.9,-288.9
1.2.840.113619.2.278.3.717616.260.1578649417.892_1.2.840.113619.2.278.3.717616.260.1578649417.897.3_standardized.nii.gz,-4048.0,2047.0,0.0,0.217596,0.668648,0.818995,0.852565,4e-06,2e-06,0.0,0.0,-4048.0,-4048.0,-1990.0,-958.9,-717.2,-999.2,-996.3,-970.4,-647.6,-235.2
1.2.840.113619.2.278.3.717616.260.1578649417.892_1.2.840.113619.2.278.3.717616.260.1578649417.998.4198401_standardized.nii.gz,-4048.0,2047.0,0.0,0.217598,0.668043,0.808149,0.833448,3e-06,1e-06,0.0,0.0,-4048.0,-4048.0,-1990.1,-926.1,-682.4,-998.7,-993.6,-955.1,-650.3,-276.3
1.2.840.113619.2.278.3.717616.260.1578649417.892_1.2.840.113619.2.278.3.717616.260.1578649417.998.4202498_standardized.nii.gz,-4048.0,2046.247314453125,0.0,0.217591,0.669295,0.806663,0.829922,5e-06,2e-06,0.0,0.0,-4048.0,-4048.0,-1990.5,-917.5,-696.3,-998.5,-992.8,-948.9,-660.4,-236.6
1.2.840.113619.2.278.3.717616.260.1578649418.868_1.2.840.113619.2.278.3.717616.260.1578649418.873.3_standardized.nii.gz,-4048.0,1988.072021484375,0.0,0.217625,0.658858,0.805234,0.871486,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-1977.7,-970.8,-789.6,-999.6,-997.8,-976.7,-707.5,-336.8
1.2.840.113619.2.278.3.717616.260.1578649418.868_1.2.840.113619.2.278.3.717616.260.1578649418.976.4202498_standardized.nii.gz,-4048.0,1919.9696044921875,0.0,0.217623,0.65852,0.789868,0.841083,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1976.0,-920.3,-770.0,-999.2,-996.1,-956.8,-729.9,-376.6
1.2.840.113619.2.278.3.717616.260.1578649418.868_1.2.840.113619.2.278.3.717616.260.1578649419.700.11_standardized.nii.gz,-4048.0,1746.30078125,0.0,0.217626,0.634196,0.76112,0.814741,7e-06,0.0,0.0,0.0,-4048.0,-4048.0,-1959.4,-930.1,-822.9,-999.1,-995.6,-951.7,-812.4,-552.5
1.2.840.113619.2.278.3.717616.286.1587944966.46_1.2.840.113619.2.278.3.717616.286.1587944966.152.4198401_standardized.nii.gz,-4048.0,1290.326416015625,0.0,0.217583,0.697416,0.829248,0.859168,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-1988.5,-955.8,-701.6,-999.1,-995.8,-968.6,-659.1,-264.4
1.2.840.113619.2.278.3.717616.286.1587944966.46_1.2.840.113619.2.278.3.717616.286.1587944966.152.4202498_standardized.nii.gz,-4048.0,1299.9830322265625,0.0,0.217586,0.69993,0.827211,0.854595,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-1990.7,-927.4,-753.6,-999.0,-995.1,-955.0,-686.2,-246.5
1.2.840.113619.2.278.3.717616.286.1587944966.46_1.2.840.113619.2.278.3.717616.286.1587944966.51.3_standardized.nii.gz,-4048.0,1378.2415771484375,0.0,0.217587,0.704938,0.838704,0.872401,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-1989.9,-969.9,-761.4,-999.3,-996.8,-975.5,-662.7,-235.7
1.2.840.113619.2.278.3.717616.286.1587944966.506_1.2.840.113619.2.278.3.717616.286.1587944966.511.3_standardized.nii.gz,-4048.0,2047.0,0.0,0.217571,0.733611,0.826885,0.859801,1.7e-05,8e-06,1e-06,0.0,-4048.0,-4048.0,-1995.7,-964.9,-772.8,-999.2,-996.3,-971.7,-691.1,-228.9
1.2.840.113619.2.278.3.717616.286.1587944966.506_1.2.840.113619.2.278.3.717616.286.1587944966.605.4198401_standardized.nii.gz,-4048.0,2047.0,0.0,0.217639,0.729596,0.814057,0.840338,1.2e-05,4e-06,0.0,0.0,-4048.0,-4048.0,-1995.3,-944.0,-723.2,-998.9,-994.7,-960.4,-690.5,-278.3
1.2.840.113619.2.278.3.717616.286.1587944966.506_1.2.840.113619.2.278.3.717616.286.1587944966.605.4202498_standardized.nii.gz,-4048.0,2047.0,0.0,0.217593,0.726401,0.809535,0.833346,5e-06,2e-06,0.0,0.0,-4048.0,-4048.0,-1998.3,-930.9,-764.5,-998.8,-994.1,-954.6,-723.5,-273.2
1.2.840.113619.2.278.3.717616.286.1587944967.557_1.2.840.113619.2.278.3.717616.286.1587944967.562.3_standardized.nii.gz,-4048.0,937.2793579101562,0.0,0.217632,0.66289,0.826034,0.847945,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1992.9,-955.2,-762.2,-998.8,-994.5,-965.3,-706.4,-347.1
1.2.840.113619.2.278.3.717616.286.1587944967.557_1.2.840.113619.2.278.3.717616.286.1587944967.658.4198401_standardized.nii.gz,-4048.0,958.2463989257812,0.0,0.217639,0.660992,0.822464,0.840054,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1995.4,-946.2,-752.3,-998.3,-992.0,-959.0,-710.4,-363.2
1.2.840.113619.2.278.3.717616.286.1587944967.557_1.2.840.113619.2.278.3.717616.286.1587944967.658.4202498_standardized.nii.gz,-4048.0,852.2322998046875,0.0,0.217638,0.660767,0.820614,0.837197,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1994.3,-934.3,-755.9,-998.0,-990.9,-953.5,-715.2,-366.9
1.2.840.113619.2.278.3.717616.286.1587944968.878_1.2.840.113619.2.278.3.717616.286.1587944968.883.3_standardized.nii.gz,-4048.0,1094.56005859375,0.0,0.217616,0.609228,0.865046,0.892382,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1955.4,-975.3,-833.7,-999.4,-997.1,-977.0,-719.4,-364.4
1.2.840.113619.2.278.3.717616.286.1587944968.878_1.2.840.113619.2.278.3.717616.286.1587944968.981.4198401_standardized.nii.gz,-4048.0,1223.476806640625,0.0,0.21946,0.609102,0.859165,0.880368,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1956.2,-961.3,-779.0,-999.0,-995.2,-966.9,-710.9,-368.9
1.2.840.113619.2.278.3.717616.286.1587944968.878_1.2.840.113619.2.278.3.717616.286.1587944968.981.4202498_standardized.nii.gz,-4048.0,1206.47998046875,0.0,0.219449,0.611816,0.858399,0.878147,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1956.9,-947.3,-825.3,-998.8,-994.4,-956.2,-734.5,-372.3
1.2.840.113619.2.278.3.717616.286.1587944973.161_1.2.840.113619.2.278.3.717616.286.1587944973.166.3_standardized.nii.gz,-4048.0,1470.2239990234375,0.0,0.217652,0.75457,0.839558,0.86516,2e-06,0.0,0.0,0.0,-4048.0,-4048.0,-1997.3,-962.9,-712.1,-999.1,-995.8,-970.2,-625.2,-243.6
1.2.840.113619.2.278.3.717616.286.1587944973.161_1.2.840.113619.2.278.3.717616.286.1587944973.290.4198401_standardized.nii.gz,-4048.0,1510.416015625,0.0,0.21764,0.746397,0.829982,0.850418,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-2002.6,-948.6,-708.7,-998.6,-993.5,-961.3,-656.3,-272.6
1.2.840.113619.2.278.3.717616.286.1587944973.161_1.2.840.113619.2.278.3.717616.286.1587944973.290.4202498_standardized.nii.gz,-4048.0,1897.156494140625,0.0,0.217638,0.753022,0.831781,0.850249,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-1997.9,-929.9,-703.4,-998.4,-992.7,-955.0,-640.5,-266.7
1.2.840.113619.2.278.3.717616.286.1587944975.372_1.2.840.113619.2.278.3.717616.286.1587944975.377.3_standardized.nii.gz,-4048.0,1306.5423583984375,0.0,0.227648,0.700228,0.840685,0.873284,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-1994.4,-961.1,-626.5,-999.3,-996.5,-969.9,-506.5,-105.3
1.2.840.113619.2.278.3.717616.286.1587944975.372_1.2.840.113619.2.278.3.717616.286.1587944975.500.4198401_standardized.nii.gz,-4048.0,1625.2320556640625,0.0,0.217585,0.682465,0.828881,0.858527,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-1991.6,-936.8,-637.0,-999.0,-995.3,-959.2,-548.1,-131.2
1.2.840.113619.2.278.3.717616.286.1587944975.372_1.2.840.113619.2.278.3.717616.286.1587944975.500.4202498_standardized.nii.gz,-4048.0,1592.573486328125,0.0,0.217541,0.69963,0.83163,0.858248,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-1996.1,-921.6,-617.5,-998.9,-994.7,-946.9,-529.2,-128.6
1.2.840.113619.2.278.3.717616.286.1587944978.330_1.2.840.113619.2.278.3.717616.286.1587944978.335.3_standardized.nii.gz,-4048.0,2047.0,0.0,0.215616,0.70291,0.827958,0.849841,9e-06,6e-06,4e-06,0.0,-4048.0,-4048.0,-2004.1,-958.1,-674.6,-998.8,-994.5,-967.4,-602.0,-165.2
1.2.840.113619.2.278.3.717616.286.1587944978.330_1.2.840.113619.2.278.3.717616.286.1587944978.417.4198401_standardized.nii.gz,-4048.0,2047.0,0.0,0.217653,0.763437,0.859289,0.87197,1.2e-05,6e-06,3e-06,0.0,-4048.0,-4048.0,-2009.8,-946.6,-707.0,-997.7,-989.8,-954.2,-611.0,-201.5
1.2.840.113619.2.278.3.717616.286.1587944978.330_1.2.840.113619.2.278.3.717616.286.1587944978.417.4202498_standardized.nii.gz,-4048.0,2047.0,0.0,0.217652,0.757994,0.852934,0.865194,1.1e-05,6e-06,3e-06,0.0,-4048.0,-4048.0,-2008.7,-926.0,-711.2,-997.4,-988.3,-944.1,-617.4,-209.1
1.2.840.113619.2.278.3.717616.286.1587944978.649_1.2.840.113619.2.278.3.717616.286.1587944978.654.3_standardized.nii.gz,-4048.0,913.8873901367188,0.0,0.217633,0.639873,0.81559,0.847256,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1962.2,-963.4,-671.6,-999.2,-996.1,-972.8,-593.0,-146.4
1.2.840.113619.2.278.3.717616.286.1587944978.649_1.2.840.113619.2.278.3.717616.286.1587944978.742.4198401_standardized.nii.gz,-4048.0,1096.852783203125,0.0,0.217596,0.638532,0.808873,0.836044,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1962.3,-952.6,-671.0,-998.9,-994.8,-966.7,-614.0,-142.7
1.2.840.113619.2.278.3.717616.286.1587944978.649_1.2.840.113619.2.278.3.717616.286.1587944978.742.4202498_standardized.nii.gz,-4048.0,1089.29443359375,0.0,0.217591,0.641217,0.807629,0.832767,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1962.9,-936.1,-676.4,-998.8,-994.2,-959.9,-622.1,-132.8
1.2.840.113619.2.278.3.717616.286.1587944978.934_1.2.840.113619.2.278.3.717616.286.1587944978.939.3_standardized.nii.gz,-4048.0,980.0509643554688,0.0,0.214428,0.665524,0.820262,0.845608,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1977.8,-959.7,-717.5,-999.0,-995.2,-969.1,-653.2,-251.5
1.2.840.113619.2.278.3.717616.286.1587944978.934_1.2.840.113619.2.278.3.717616.286.1587944979.30.4198401_standardized.nii.gz,-4048.0,881.8112182617188,0.0,0.217645,0.675311,0.820571,0.840549,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1985.6,-948.2,-693.0,-998.4,-992.6,-961.2,-655.6,-265.9
1.2.840.113619.2.278.3.717616.286.1587944978.934_1.2.840.113619.2.278.3.717616.286.1587944979.30.4202498_standardized.nii.gz,-4048.0,902.6287841796875,0.0,0.217647,0.675963,0.818866,0.837267,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1985.2,-932.8,-714.5,-998.2,-991.3,-953.2,-664.0,-268.3
1.2.840.113619.2.278.3.717616.286.1587944983.828_1.2.840.113619.2.278.3.717616.286.1587944983.833.3_standardized.nii.gz,-4048.0,2047.0,0.0,0.21763,0.778094,0.857242,0.876253,4.5e-05,2.7e-05,3e-06,0.0,-4048.0,-4048.0,-2004.7,-963.3,-783.3,-998.9,-994.8,-968.5,-674.4,-266.2
1.2.840.113619.2.278.3.717616.286.1587944983.828_1.2.840.113619.2.278.3.717616.286.1587944983.915.4198401_standardized.nii.gz,-4048.0,2047.0,0.0,0.217645,0.777847,0.852506,0.868024,4.7e-05,2.7e-05,3e-06,0.0,-4048.0,-4048.0,-2004.9,-947.4,-733.4,-998.3,-992.4,-958.1,-659.8,-302.2
1.2.840.113619.2.278.3.717616.286.1587944983.828_1.2.840.113619.2.278.3.717616.286.1587944983.915.4202498_standardized.nii.gz,-4048.0,2047.0,0.0,0.217646,0.778594,0.850745,0.864923,4.2e-05,2.5e-05,4e-06,0.0,-4048.0,-4048.0,-2005.0,-934.7,-771.9,-998.1,-991.0,-952.0,-685.7,-310.5
