filename,true_min,true_max,frac_le_4096,frac_le_2048,frac_le_1500,frac_le_1024,frac_le_1000,frac_ge_1000,frac_ge_1500,frac_ge_2000,frac_ge_3000,pct_1_all,pct_5_all,pct_50_all,pct_95_all,pct_99_all,pct_1_body,pct_5_body,pct_50_body,pct_95_body,pct_99_body
1.2.840.113619.2.278.3.717616.260.1578649386.487_1.2.840.113619.2.278.3.717616.260.1578649386.755.11_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.460329,0.500082,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1000.0,-869.8,-700.0,-997.4,-988.2,-947.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649416.936.3_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.453737,0.677365,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1018.2,-900.1,-700.0,-999.5,-997.6,-974.8,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649417.37.4198401_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.42723,0.630539,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1014.8,-841.6,-700.0,-999.4,-996.4,-961.2,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649417.37.4202498_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.431663,0.621971,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1014.5,-854.5,-700.0,-999.3,-996.2,-955.0,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649417.892_1.2.840.113619.2.278.3.717616.260.1578649417.897.3_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.508799,0.599952,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1027.2,-844.7,-700.0,-999.2,-996.3,-970.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649417.892_1.2.840.113619.2.278.3.717616.260.1578649417.998.4198401_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.510264,0.57635,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1028.4,-795.1,-700.0,-998.7,-993.7,-953.8,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649417.892_1.2.840.113619.2.278.3.717616.260.1578649417.998.4202498_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.465007,0.528788,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1010.1,-807.9,-700.0,-998.5,-992.5,-944.9,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649418.868_1.2.840.113619.2.278.3.717616.260.1578649418.873.3_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.51151,0.674979,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1026.5,-954.1,-725.3,-999.6,-997.8,-977.6,-801.4,-700.0
1.2.840.113619.2.278.3.717616.260.1578649418.868_1.2.840.113619.2.278.3.717616.260.1578649418.976.4202498_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.481048,0.593541,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1019.4,-883.2,-700.0,-999.1,-995.3,-936.6,-802.9,-700.0
1.2.840.113619.2.278.3.717616.260.1578649418.868_1.2.840.113619.2.278.3.717616.260.1578649419.700.11_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.476553,0.588769,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1018.3,-903.7,-705.7,-999.1,-995.3,-947.1,-811.2,-700.0
1.2.840.113619.2.278.3.717616.286.1587944966.46_1.2.840.113619.2.278.3.717616.286.1587944966.152.4198401_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.555536,0.647628,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1053.4,-882.2,-700.0,-999.0,-995.2,-968.9,-704.8,-700.0
